Travesera-13
Travesera-13,06643687E,01:40:02,()
Travesera-13,11486359K,01:41:02,()
Travesera-13,22224730Z,01:43:02,()
Travesera-13,87962688Q,01:44:02,()
Travesera-13,85274214N,01:45:02,()
Travesera-13,82819202C,01:46:02,()
Travesera-13,69837114Y,01:47:02,()
Travesera-13,64228778J,01:47:52,()
Travesera-13,53194122K,01:48:42,()
Travesera-13,48826508S,01:50:02,()
Travesera-13,48011038X,01:50:05,()
Travesera-13,45979788M,02:40:02,()
Travesera-13,44721868R,04:40:02,()
Travesera-13,36888150Z,02:50:02,()
